"","id","program_number","program_title","popular_name","objectives","website_address"
"1585",1585,"84.245","Tribally Controlled Postsecondary Career and Technical Institutions ","","To make grants to eligible tribally controlled postsecondary career and technical institutions to provide career and technical education (CTE) services and basic support for the education and training of Indian students.","http://www2.ed.gov/about/offices/list/ovae/programs.html"
"1586",1586,"84.246","Rehabilitation Short-Term Training","","To support special seminars, institutes, workshops, and other short-term courses in technical matters relating to the delivery of vocational, medical, social, and psychological services.","http://www.ed.gov/offices/OSERS/RSA."
"1587",1587,"84.250","Rehabilitation Services_American Indians with Disabilities","","To provide vocational rehabilitation services to American Indians with disabilities that reside on or near Federal or State reservations, consistent with their individual strengths, resources, priorities, concerns, abilities, capabilities, and informed choice, so that they may prepare for and engage in gainful employment.","http://www.ed.gov/about/offices/list/osers/rsa/index.html."
"1588",1588,"84.256","Territories and Freely Associated States Education Grant Program","","To support activities consistent with the purposes of the Elementary and Secondary Education Act, including teacher training, curriculum development, instructional materials or general school improvement and school reform, and direct educational services.","http://www.ed.gov/programs/tfasegp/index.html"
"1589",1589,"84.259","Native Hawaiian Career and Technical Education","","To make grants to organizations primarily serving and representing Native Hawaiians for programs or portions of programs authorized by, and consistent with, the Carl D. Perkins Career and Technical Education Act of 2006.","http://cte.ed.gov/grants/discretionary-grants"
"1590",1590,"84.263","Rehabilitation Training_Experimental and Innovative Training","","This program is designed to: (a) Develop new types of training programs for rehabilitation personnel and to demonstrate the effectiveness of these new types of training programs for rehabilitation personnel in providing rehabilitation services to individuals with disabilities; and (b) develop new and improved methods of training rehabilitation personnel so that there may be a more effective delivery of rehabilitation services by State and other rehabilitation agencies.","http://www.ed.gov/offices/OSERS/RSA."
"1591",1591,"84.264","Rehabilitation Training_Continuing Education","","To support training centers that serve either a Federal region or another geographical area and provide for a broad integrated sequence of training activities that focus on meeting recurrent and common training needs of employed rehabilitation personnel throughout a multi-State geographical area.","http://www.ed.gov/offices/OSERS/RSA."
"1592",1592,"84.268","Federal Direct Student Loans","","To provide loan capital directly from the Federal government to vocational, undergraduate, and graduate postsecondary school students and their parents.","http://www.ifap.ed.gov/."
"1593",1593,"84.274","American Overseas Research Centers","","To enable American overseas research centers, that are consortia of higher education institutions, to promote postgraduate research, exchanges, and area studies.","http://www.ed.gov/programs/iegpsaorc/."
"1594",1594,"84.282","Charter Schools","","The program supports startup of new charter schools and the replication and expansion of high-quality charter schools.  Charter schools increase educational options for parents and students and, in exchange for stricter academic accountability, are exempt from many statutory and regulatory requirements.  Funds also support State efforts to improve charter schools' access to facilities.","http://www.ed.gov/programs/charter/index.html"
"1595",1595,"84.283","Comprehensive Centers","","This program supports no fewer than 20 comprehensive centers that provide training, professional development, and technical assistance primarily to State educational agencies. By statute, the Department is required to establish at least 1 center in each of the 10 geographic regions served by the Department's regional educational laboratories (RELs).  Information on the REL regions is available at http://ies.ed.gov/ncee/edlabs/.).","http://www.ed.gov/programs/newccp/index.html."
"1596",1596,"84.287","Twenty-First Century Community Learning Centers","","To provide opportunities for communities to establish or expand activities in community learning centers that provide opportunities for academic enrichment for children, particularly students who attend high-poverty and low-performing schools. The program is intended to help students meet state and local student academic achievement standards in core academic subjects, such as reading and math; to offer students a broad array of enrichment activities that reinforce and complement their regular academic programs; and to offer literacy and other educational services to the families of participating children.","http://www.ed.gov/programs/21stcclc/index.html."
"1597",1597,"84.295","Ready-To-Learn Television","","To facilitate student academic achievement by developing educational programming and digital content, with accompanying educational support materials, for preschool and early elementary school children and their families.","http://www.ed.gov/programs/rtltv/index.html."
"1598",1598,"84.299","Indian Education -- Special Programs for Indian Children","","The objective of 84.299A is to support projects (1) to develop, test, and demonstrate the effectiveness of services and programs to improve educational opportunities and achievement of Indian children.  The objective of 84.299B is to increase the number of qualified Indian individuals in teaching or other education professions that serve Indian people, to provide training to qualified Indian individuals to enable such individuals to become teachers, administrators, teacher aides, social workers, and ancillary educational personnel, and to improve the skills of qualified Indian individuals who serve in education professions.","http://www.ed.gov/programs/indiandemo/index.html"
"1599",1599,"84.305","Education Research, Development and Dissemination","","To support the development and distribution of scientifically valid research, evaluation, and data collection that support learning and improve academic achievement.  Funding provides support for building a high-quality evidence base on what works in education, as well as dissemination to ensure that the evidence base informs practice.  The central purpose of the Institute's research grant programs is to provide interested individuals and the general public with reliable and valid information about education practices that support learning and improve academic achievement and access to education opportunities for all students. These interested individuals include parents, educators, students, researchers, and policymakers. In carrying out its grant programs, the Institute provides support for programs of research in areas of demonstrated national need.","http://ies.ed.gov/ncer."
"1600",1600,"84.315","Capacity Building for Traditionally Underserved Populations","(Capacity Building)","To enhance the capacity and increase the participation of historically Black colleges and universities, Hispanic serving institutions of higher education, and other institutions of higher education where minority enrollment is at least 50 percent, in competitions for grants, contracts, and cooperative agreements under the Rehabilitation Act, as amended.","http://www.ed.gov/about/offices/list/osers/rsa/index.html."
"1601",1601,"84.323","Special Education - State Personnel Development","","To assist State educational agencies in reforming and improving their systems for personnel preparation and professional development in early  intervention, educational and transition services, to improve results for children with disabilities.  As used in this program, personnel means special education teachers, regular education teachers, principals, administrators, related services personnel, paraprofessionals, and early intervention personnel serving infants, toddlers, preschoolers, or children with disabilities, except where a particular category of personnel, such as related services personnel, is identified.","http://www.ed.gov/about/offices/list/osers/osep/index.html."
"1602",1602,"84.324","Research in Special Education","","To support scientifically rigorous research contributing to the solution of specific early intervention and education problems associated with children with disabilities.","http://ies.ed.gov/ncser."
"1603",1603,"84.325","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities","","The purposes of this program are to (1) help address State-identified needs for highly qualified personnel--in special education, related services, early intervention, and regular education--to work with infants, toddlers, and children with disabilities; and (2) ensure that those personnel have the necessary skills and knowledge, derived from practices that have been determined through scientifically based research and experience, to be successful in serving those children.","http://www.ed.gov/about/offices/list/osers/osep/index.html."
"1604",1604,"84.326","Special Education_Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities","","The purpose of the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities program is to promote academic achievement and to improve results for children with disabilities by providing technical assistance, supporting model demonstration projects, disseminating useful information, and implementing activities that are supported by scientifically based research.","http://www.ed.gov/about/offices/list/osers/osep/index.html."
"1605",1605,"84.327","Special Education_Educational Technology Media, and Materials for Individuals with Disabilities","","The purposes of the Educational Technology, Media and Materials for Individuals with Disabilities program are to:  (1) improve results for children with disabilities by promoting the development, demonstration, and use of technology; (2) support educational media services activities designed to be of educational value in the classroom setting to children with disabilities; and (3) provide support for captioning and video description that are appropriate for use in the classroom setting; and (4) provide accessible educational materials to children with disabilities in a timely manner.","http://www2.ed.gov/programs/oseptms/index.html"
"1606",1606,"84.328","Special Education_Parent Information Centers","","The purpose of the program is to ensure that parents of children with disabilities receive training and information to help improve results for their children.","http://www2.ed.gov/programs/oseppic/index.html"
"1607",1607,"84.329","Special Education_Studies and Evaluations","","To assess the progress in implementing the Individuals with Disabilities Education Act, including State and local efforts to provide (1) Free appropriate public education to children with disabilities; and (2) early intervention services to infants and toddlers with disabilities who would be at risk of having substantial developmental delays if early intervention services were not provided.","http://ies.ed.gov/ncee"
"1608",1608,"84.330","Advanced Placement Program (Advanced Placement Test Fee; Advanced Placement Incentive Program Grants)","","To award grants to State educational agencies, local educational agencies, and national nonprofit educational organizations with expertise in advanced placement services to support State and local efforts to increase access to advanced placement classes and tests for low-income students and to award grants to State educational agencies to cover part or all of the cost of test fees for students from low-income families enrolled in advanced placement courses.","http://www.ed.gov/programs/apfee/index.html"
"1609",1609,"84.334","Gaining Early Awareness and Readiness for Undergraduate Programs","(GEAR-UP)","Provides 6-or 7-year grants to States and Partnerships to provide support, and maintain a commitment, to eligible low-income students, including students with disabilities, to help the students obtain a secondary school diploma (or its recognized equivalent) and to prepare for, and succeed in, postsecondary education. GEAR UP has two major service components.  All projects provide a comprehensive set of early intervention services including mentoring, tutoring, academic and career counseling, services to increase parental involvement, and other college preparation activities like exposure to college campuses and financial aid information and assistance. Some projects provide college scholarships to participating students.","http://www.ed.gov/programs/gearup/index.html."
"1610",1610,"84.335","Child Care Access Means Parents in School","","To support the participation of low-income parents in postsecondary education through the provision of campus-based child care services.","http://www.ed.gov/programs/campisp/."
"1611",1611,"84.336","Teacher Quality Partnership Grants","","To improve student achievement; improve the quality of new and prospective teachers by improving the preparation of prospective teachers and enhancing professional development activities for new teachers; hold teacher preparation programs at institutions of higher education (IHEs) accountable for preparing highly qualified teachers; and recruit highly qualified individuals, including minorities and individuals from other occupations, into the teaching force.","http://www2.ed.gov/programs/tqpartnership/index.html"
"1612",1612,"84.350","Transition to Teaching","","To recruit and retain highly qualified midcareer professionals (including highly qualified paraprofessionals) and recent graduates of institutions of higher education, as teachers in high-need schools, including by recruiting teachers through alternative routes to teacher certification and licensure; and to encourage the development and expansion of alternative routes to certification and licensure under State-approved programs that enable individuals to be eligible for teacher certification and licensure within a reduced period of time, relying on the experience, expertise, and academic qualifications of an individual or other factors in lieu of traditional course work in the field of education.","http://www.ed.gov/programs/transitionteach/index.html."
"1613",1613,"84.351","Arts in Education","","To provide competitive grants that support the integration of the arts into the elementary and secondary school curriculum, with particular focus on improving the academic achievement of low-income students.","http://www2.ed.gov/programs/artsnational/index.html"
"1614",1614,"84.354","Credit Enhancement for Charter School Facilities","","To provide grants to eligible entities to leverage funds through credit enhancement initiatives in order to assist charter schools in using private-sector capital to acquire, construct, renovate, or lease academic facilities.","http://www.ed.gov/programs/charterfacilities/index.html"
"1615",1615,"84.356","Alaska Native Educational Programs","","To support projects that recognize and address the unique educational needs of Alaska Native students, to recognize the role of Alaska Native languages and cultures and to integrate Alaska Native languages and cultures into education, to support supplemental education programs that benefit Alaska Natives, and to ensure the maximum participation by Alaska Native educators and leaders in programs designed to serve Alaska Native students.","http://www.ed.gov/programs/alaskanative/index.html."
"1616",1616,"84.358","Rural Education","","To provide financial assistance to rural districts to carry out activities to help improve the quality of teaching and learning in their schools.","http://www2.ed.gov/nclb/freedom/local/reap.html"
"1617",1617,"84.362","Native Hawaiian Education","","To develop innovative educational programs to assist Native Hawaiians,  to supplement and expand programs and authorities in the area of education, and to encourage the maximum participation of Native Hawaiians in planning and management of Native Hawaiian education programs.","http://www.ed.gov/programs/nathawaiian/index.html"
"1618",1618,"84.363","School Leader Recruitment and Support (formerly School Leadership)","","To improve the recruitment, preparation, placement, support, and retention of effective principals and other school leaders in high-need schools.","http://www.ed.gov/programs/leadership/index.html."
"1619",1619,"84.365","English Language Acquisition State Grants","","To help ensure that English learners (ELs), including immigrant children and youth, attain English proficiency and meet the same challenging State academic standards that all children are expected to meet.","http://www2.ed.gov/programs/sfgp/index.html"
"1620",1620,"84.366","Mathematics and Science Partnerships","","To improve the academic achievement of students in mathematics and science by encouraging States, institutions of higher education (IHEs), local educational agencies (LEAs), and elementary and secondary schools to participate in programs that: improve and upgrade the status and stature of mathematics and science teaching by encouraging IHEs to improve mathematics and science teacher education; focus on the education of mathematics and science teachers as a career-long process; bring mathematics and science teachers together with scientists, mathematicians, and engineers to improve those teachers' teaching skills; develop more rigorous mathematics and science curricula that are aligned with challenging state and local academic achievement standards and with the standards expected for postsecondary study in engineering, mathematics, and science; and improve and expand training of mathematics and science teachers, including by training such teachers in the effective integration of technology into curricula and instruction.","http://www.ed.gov/programs/mathsci/index.html."
"1621",1621,"84.367","Supporting Effective Instruction State Grant (formerly Improving Teacher Quality State Grants)","","To provide grants to State educational agencies (SEAs), and, through the SEAs, to local educational agencies (LEAs) in order to increase student academic achievement consistent with challenging State academic standards; improve the quality and effectiveness of teachers, principals, and other school leaders; increase the number of teachers, principals, and other school leaders who are effective in improving student academic achievement in schools; and provide low-income and minority students greater access to effective teachers, principals, and other school leaders.  (Under the antecedent program, State agencies for higher education also were eligible grantees.)

NOTE:  The program was reauthorized by P.L. 114-95.  The provisions listed here reflect changes made to the program and are applicable for awards made with FY 2017 and subsequent year funds.","http://www.ed.gov/programs/teacherqual/index.html."
"1622",1622,"84.368","Competitive Grants for State Assessments (formerly Grants for Enhanced Assessment Instruments)","","Starting with fiscal year 2017, the purpose is to support efforts to:  (1) improve the quality, validity, and reliability of State academic assessments; (2) measure student academic achievement through the use of multiple measures from multiple sources; (3) develop or improve models to measure and assess student progress or growth; (4) develop or improve assessments for English learners, including assessments of English language proficiency or assessments of academic content in languages other than English; (5) develop or improve assessments for children with disabilities, including alternate assessments aligned to alternate academic achievement standards; and (6) develop and use comprehensive assessment instruments, such as performance- and technology-based assessments, computer adaptive assessments, or extended performance task assessments that improve assessment ability to measure critical thinking, writing and problem solving skills.","http://www.2.ed.gov/programs/eag/index.html"
"1623",1623,"84.369","Grants for State Assessments and Related Activities","","The purpose of this program is:  to pay the costs of developing the standards and high-quality assessments required by Title I of the ESEA.  Once a State has put in place those standards and assessments, it may use program funds to pay for the administration of the assessments and for other activities related to ensuring that the State\x92s schools and LEAs are held accountable for results and helping students attain challenging academic standards linked to college- and career-readiness.  Such activities may include, among other things, developing standards and assessments in subjects other than those required by Title I, refining State assessments to ensure continued alignment with standards, expanding the range of testing accommodations for students with disabilities and for  English Learner students, developing multiple measures to ensure the validity and reliability of State assessments, and using academic assessment instruments such as performance and technology-based assessments or computer adaptive assessments to better reflect the kind of complex work students do in an effective classroom and the real world.","http://www2.ed.gov/admins/lead/account/saa.html"
"1624",1624,"84.370","DC School Choice Incentive Program ","","To provide low-income parents residing in the District of Columbia (District) with expanded options for the education of their children.  This program is part of a broader school improvement effort in the District.","http://www.ed.gov/programs/dcchoice/index.html"
"1625",1625,"84.371","Striving Readers","","The objective of the Striving Readers Comprehensive Literacy program is to advance literacy skills, including pre-literacy skills, reading and writing for students from birth through grade 12, including English learner and students with disabilities.","http://www.ed.gov/programs/strivingreaders/index.html."
"1626",1626,"84.372","Statewide Longitudinal Data Systems","","These grants are intended to enable State educational agencies to design, develop, and implement statewide, longitudinal data systems to efficiently and accurately manage, analyze, disaggregate, and use individual student data, consistent with the Elementary and Secondary Education Act of 1965 and to facilitate analyses and research to improve student academic achievement and close achievement gaps.  In 2015, grants will be awarded to carry out projects to address up to two of the following data use priorities: 1) Financial Equity and Return on Investment; 2) Educator Talent Management; 3) Early Learning; 4) College and Career; 5) Evaluation and Research; 6) Instructional Support.  In addition, funds are used to support contracts to improve data quality, coordination, and use.  The eligible entities for contract awards are public or private organizations or entities.","http://nces.ed.gov/programs/slds"
"1627",1627,"84.373","Special Education_Technical Assistance on State Data Collection","","To provide technical assistance, where needed, to improve the capacity of States to meet the data collection requirements of the IDEA.","http://http//www.ed.gov/about/offices/list/osers/osep/index.html."
"1628",1628,"84.374","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)","(TSL)","To help eligible entities develop,.","http://www2.ed.gov/programs/teacherincentive/index.html"
"1629",1629,"84.377","School Improvement Grants","","To support competitive subgrants to local educational agencies (LEAs) that demonstrate the greatest need for the funds and the strongest commitment to use the funds to provide adequate resources to raise substantially the achievement of students in their lowest-performing schools. In general, State educational agencies (SEAs) must give priority for subgrants to LEAs with Title I-eligible schools ranked in the bottom five percent of such schools, based on student achievement and lack of progress in improving student achievement, as well as secondary schools with a graduation rate below 60 percent over a number of years.  LEAs seeking funding to serve such schools must implement one of four school intervention models:  turnaround model, restart model, school closure, or transformation model.","http://www.ed.gov/oese"
"1630",1630,"84.379","Teacher Education Assistance for College and Higher Education Grants (TEACH Grants)","","To provide annual grants of up to $4,000 to eligible undergraduate and graduate students who agree to teach specified high-need subjects at schools serving primarily disadvantaged populations for four years within eight years of graduation.  For students who do not fulfill their service requirements, grants convert to Direct Unsubsidized Stafford Loans with interest accrued from the date of award.","http://www.ifap.ed.gov"
"1631",1631,"84.380","Special Education -- Olympic Education Programs","","This program promotes the expansion of Special Olympics and the design and implementation of Special Olympics education programs.","http://www2.ed.gov/programs/osepoly/index.html."
"1632",1632,"84.382","Strengthening Minority-Serving Institutions","","To strengthen Predominantly Black Institutions (PBI); Asian American and Native American Pacific Islander-Serving Institutions (AANAPISI); and Native American-Serving Nontribal Institutions (NASNTI) that propose to carry out activities to improve and expand such institution's capacity to serve low-income and minority students.  For Master\x92s Degree Programs at Historically Black Colleges and Universities (Section 723) and Master\x92s Degree Programs at Predominantly Black Institutions (Section 724) to specified eligible institutions to further advance educational opportunities for African-Americans.","http://www2.ed.gov/about/offices/list/ope/idues/index.html"
"1633",1633,"84.403","Consolidated Grant to the Outlying Areas","","To make an annual consolidated grant to assist an Insular Area in carrying out one or more State-administered formula grant programs of the Department.  (i.e., -ESEA,Title I, Part A-Grants to LEAs; ESEA,Title I, Section 1003(g)-School Improvement Grants; ESEA,Title II, Part A-Teacher Quality Grants; ESEA,Title III, English Language Acquisition Grants; ESEA, Title IV, Part B-21st Century Community Learning Centers Grants; ESEA,Title V, Part A-State Grants for Innovative Programs; Adult Education and Family Literacy Act (AEFLA)-Section 243-Adult Education State Administered Program grants; Perkins Act, Title I-Career and Technical Education Basic State Grants; ESEA,Title VI, Part A-State Assessments; McKinney-Vento Homeless Assistance Act-Title VII-B Grants; ESEA, Title II, Part, B-Mathematics and Science Partnerships grants; ESEA, Title VI, Part B, Rural and Low-Income School Program.","http://www.ed.gov/about/offices/list/oese/sst/index.html"
"1634",1634,"84.407","Transition Programs for Students with Intellectual Disabilities into Higher Education","","To support model demonstration programs that promote successful transition of students with intellectual disabilities into higher education. Grants awarded to institutions of higher education (IHEs) or consortia of IHEs under the Transition Programs for Students with Disabilities into Higher Education (TPSID) program will enable the institutions or consortia to create or expand high quality, inclusive model comprehensive transition and postsecondary programs for students with intellectual disabilities. Under section 767(d)(6) of the HEA all grant recipients must partner with one or more local educational agencies (LEAs) to support students with intellectual disabilities who are still eligible for special education and related services under the Individuals with Disabilities Education Act (IDEA). Funds, through a cooperative agreement, support a Coordinating Center for Transition and Postsecondary Programs for Students with Intellectual Disabilities (Coordinating Center) for institutions of higher education that offer inclusive comprehensive transition and postsecondary programs for students with intellectual disabilities, including institutions participating in grants authorized under the Transition Programs for Students with Disabilities into Higher Education (TPSID) Program). The Coordinating Center will:
(A) provide a research and evaluation protocol for TPSID programs; 
(B) administer a mentoring program matching current and new TPSID grantees based on areas of expertise; 
(C) coordinate longitudinal follow-up data collection and technical assistance to TPSID grantees on programmatic components and evidence-based practices; 
(D) make recommendations related to the development of standards for such programs; 
(E) provide technical assistance and evaluations for such programs.","http://www2.ed.gov/programs/tpsid/index.html"
"1635",1635,"84.408","Postsecondary Education Scholarships for Veteran's Dependents","Iraq and Afghanistan Service Grant (IASG)","To provide eligible veteran's dependent undergraduate postsecondary students with non-need based grant assistance to help meet educational expenses.","http://www.ifap.ed.gov"
"1636",1636,"84.411","Investing in Innovation (i3) Fund","","To support the creation, development, implementation, replication, and scaling up of evidence-based, field-initiated innovations designed to improve student achievement and attainment for high-need students through a tiered-evidence framework that supports larger awards for projects with the strongest evidence base and supports promising earlier-stage projects that are willing to undergo rigorous evaluation.","http://www.ed.gov/programs/innovation/index.html"
"1637",1637,"84.414","Graduate Research Opportunities for Minority Students (Minorities and Retirement Security Program)","","To support competitive post-graduate grants to apprentice scholars at selected minority-serving graduate institutions in the area of retirement security (financial literacy, personal savings, labor force planning, spending patterns, personal debt, etc.) for low- to moderate-income individuals.","http://www2.ed.gov/programs/mrs/"
"1638",1638,"84.415","State Tribal Education Partnership (STEP)","","To (a) promote tribal self-determination in education; (b) improve the academic achievement of Indian children and youth; and (c) promote the coordination and collaboration of tribal educational agencies (TEAs) with State educational agencies (SEAs) and local educational agencies (LEAs) to meet the unique educational and culturally related academic needs of Indian students.","http://www2.ed.gov/about/offices/list/oese/oie/index.html"
"1639",1639,"84.417","Directed Grants and Awards","","Objectives of the programs vary based on the directed grant award.  Awards are made to specified institutions for purposes specified in the appropriations or authorization bills.","No Data Available"
"1640",1640,"84.418","Promoting Readiness of Minors in Supplemental Security Income","PROMISE","To foster improved education, and post-secondary outcomes for children
ages14-16 (at the time they begin to receive services) who receive Supplemental Security Income (SSI), as well as their families, by supporting improved coordination of various services, such as those available through the Individuals with Disabilities Education Act, the Vocational Rehabilitation State Grants program, Medicaid health and home and community-based services, Job Corps, Temporary Assistance for Needy Families (TANF), and Workforce Opportunities and Innovation Act programs. PROMISE also seeks to facilitate the increased use of such services, ensuring that families are tied into programs for which they might be eligible, but are not yet participating.","http://www.ed.gov/promise"
"1641",1641,"84.419","Preschool Development Grants","","To support efforts to build, develop, and expand voluntary, high-quality preschool programs.","http://www.ed.gov/earlylearing"
"1642",1642,"84.420","Performance Partnership Pilots for Disconnected Youth","Performance Partnership Pilots (P3)","To test innovative, cost-effective, and outcome-focused strategies to achieve significant improvements in educational, employment, and other key outcomes for disconnected youth.  The Departments of Education, Labor, and Health and Human Services, as well as the Corporation for National and Community Service and the Institute of Museum and Library Services enter into Performance Partnership agreements with States, localities, or tribal governments.  These agreements  enable these entities to blend funding they already receive from Federal discretionary programs focused on serving disconnected youth or are designed to prevent youth from disconnecting from school or work, and that provide education, training, employment, and other related services.","http://youth.gov/youth-topics/reconnecting-youth/performance-partnership-pilots"
"1643",1643,"84.421","Disability Innovation Fund (DIF)","","To support innovative activities aimed at improving the outcomes of individuals with disabilities as defined by section 7(20)(B) of the Rehabilitation Act.","No Data Available"
"1644",1644,"84.422","Presidential and Congressional Academies for American History and Civics","American History and Civics Academies","The program supports the establishment of:  (1) Presidential Academies for the Teaching of American History and Civics that offer workshops for both veteran and new teachers to strengthen their knowledge of American history and civics (Presidential Academies); and (2) Congressional Academies for Students of American History and Civics that provide high school students with opportunities to develop a broader and deeper understanding of these subjects (Congressional Academies).","http://www2.ed.gov/programs/ahc/index.html"
"1645",1645,"84.423","Supporting Effective Educator Development Program","SEED","The purpose of the SEED program is to (1) Support pathways that allow teachers, principals, or other school leaders with nontraditional preparation and certification to obtain employment in traditionally underserved local educational agencies (LEAs); (2) Provide evidence-based professional development activities that address literacy, numeracy, remedial, or other needs of LEAs and the students they serve; (3) Provide professional development that enhances or enables student opportunities in dual enrollment programs or early college high school settings; (4) Make services and learning opportunities freely available to LEAs, including through publicly accessible electronic means; or (5) Provide teachers, principals, or other school leaders with evidence-based professional enhancement activities, which may include activities that lead to an advanced credential.","http://www2.ed.gov/programs/edseed/index.html"
"1646",1646,"85.001","Harry S Truman Scholarship Program","","To honor former President Harry S Truman through the operation of an education scholarship program, financed by a permanent trust fund endowment, to develop increased opportunities for young Americans to prepare for and pursue careers in public service.","http://www.truman.gov ."
"1647",1647,"85.002","MCC Foreign Assistance for Overseas Programs","","To provide United States assistance for global development through the Millennium Challenge Corporation; to provide such assistance in a manner that promotes economic growth and the elimination of extreme poverty and strengthens good governance, economic freedom, and investments in people.","http://www.mcc.gov"
"1648",1648,"85.003","MCC Domestic Assistance for Overseas Programs","","To provide United States assistance for global development through the Millennium Challenge Corporation; to provide such assistance in a manner that promotes economic growth and the elimination of extreme poverty and strengthens good governance, economic freedom, and investments in people.","http://www.mcc.gov"
"1649",1649,"85.102","Christopher Columbus Awards","","The Christopher Columbus Awards is a national, community-based STEM education program for middle school students.  The program challenges the students to work in teams of three to four with an adult coach, to identify an issue in their community and apply the scientific method to create an innovative solution to the problem.","http://www.christophercolumbusawards.com or http://www.columbusfdn.org"
"1650",1650,"85.104","Life Sciences Awards","","The Life Sciences Awards are designed to encourage and promote \x93cutting edge\x94 innovation in the field of life sciences.  Monetary Awards will be presented to a scientist; a high school educator; and two high school students.","http://www.ccolumbusfoundationawards.org"
"1651",1651,"85.105","Agriscience Awards","","To encourage and promote 'cutting edge' innovation in the field of Agriscience.","http://www.agriscienceawards.com or http;://columbusfdn.org"
"1652",1652,"85.200","Barry M. Goldwater Scholarship Program","","To honor former Senator Barry Goldwater through the operation of an education scholarship program, financed by a permanent trust fund endowment, designed to encourage outstanding students to pursue careers in mathematics, the natural sciences, and engineering.","http://www.act.org/goldwater ."
"1653",1653,"85.300","Woodrow Wilson Center Fellowships in the Humanities and Social Sciences","","The Woodrow Wilson International Center for Scholars was established by Congress to symbolize and strengthen 'the fruitful relationship between the world of learning and the world of public affairs.'  It aims, in a strictly nonpartisan fashion, to foster scholarship and to promote the exchange of views between scholars and decision makers.  The Center sponsors research, meetings, and publications on history, economics, politics, international relations, the environment, and many other areas.  Fellows from around the world are brought to Washington, DC, to encourage discourse among disciplines and professions.  The Center enriches the quality of knowledge and debate in the nation's capital and throughout the world.","http://www.wilsoncenter.org ."
"1654",1654,"85.400","Morris K. Udall Scholarship Program","Udall Undergraduate Scholarship","To honor former Arizona Congressman Morris K. Udall and Secretary of Interior Stewart L. Udall through the operation of internship, scholarship, and fellowship programs, financed by a permanent trust fund endowment, to develop increased opportunities for young Americans to prepare for and pursue careers related to the environment and to American Indians and Alaska Natives who intend to pursue careers in health care and tribal public policy.  Assistance is intended for the use of scholars only.","http://www.udall.gov"
"1655",1655,"85.402","Morris K. Udall Native American Congressional Internship Program","Udall Internship Program","To honor former Arizona Congressman Morris K. Udall through the operation of internship, scholarship and fellowship programs, financed by a permanent trust fund endowment, to develop increased opportunities for young Americans to prepare for and pursue careers related to the environment and to American Indians and Alaska Natives who intend to pursue careers in health care and tribal public policy.","http://www.udall.gov"
"1656",1656,"85.500","James Madison Memorial Fellowship Program","(James Madison Foundation)","To strengthen secondary school teaching of the principles, framing, and  development of the U.S. Constitution; to contribute to a deeper understanding of American government and to foster in both teachers and students the spirit of civic participation that inspired the Nation's founders.","http://www.jamesmadison.com."
"1657",1657,"85.601","Smithsonian Institution Fellowship Program","","Fellowships are offered by the Smithsonian Institution to provide opportunities for graduate students, predoctoral students, and postdoctoral and senior investigators to conduct research in association with members of the Smithsonian professional research staff, and to utilize the resources of the Institution.","www.si.edu/research+study"
"1658",1658,"85.750","IAF Assistance for Overseas Programs","","The primary objectives of the IAF Assistance for Programs Overseas in Latin America and the Caribbean program is to:
 
(1) Strengthen the bonds of friendship and understanding among the peoples in the Western Hemisphere.
(2) Support self-help efforts designed to enlarge the opportunities for individual development.
(3) Stimulate and assist effective and ever wider participation of the people in the development process.
(4) Encourage the establishment and growth of democratic institutions, private and governmental, appropriate to the requirements of the individual sovereign nations of the Western Hemisphere.","http://www.iaf.gov"
"1659",1659,"85.801","U.S. Faculty Scholar Grants","","The goal of the program is to promote international exchange and cooperation between the United States and Vietnam, though teaching grants that permit accomplished U.S. professors to teach one or more classes in the STEMM fields at one or more host Vietnamese universities.","http://www.vef.gov"
"1660",1660,"85.802","Fellowship Program","VEF Fellowship Program","The goal of the program is to promote international exchange and cooperation between the United States and Vietnam, though educational exchange.  VEF provides funding for fellowships to Vietnamese nationals to pursue Master's and doctoral degrees in the STEMM fields at U.S. universities.","http://www.vef.gov"
"1661",1661,"85.803","Visiting Scholar Grants","VEF Visiting Scholar Grants","The goal of the program is to promote international exchange and cooperation between the United States and Vietnam, through educational exchanges.  VEF Visiting Scholar grants cover the living expenses and professional development related expenses of postdoctoral students pursuing projects/courses of study in the STEMM fields at U.S. universities.","http://www.vef.gov"
"1662",1662,"86.001","Pension Plan Termination Insurance","(ERISA)","To encourage the continuation and maintenance of voluntary private pension plans for the benefit of their participants, to provide for the timely and uninterrupted payment of pension benefits to participants and beneficiaries in plans covered by the PBGC, and to maintain premiums charged by the PBGC at the lowest level consistent with carrying out its obligations.","http://www.pbgc.gov ."
"1663",1663,"87.002","Virginia Graeme Baker Pool and Spa Safety","","To reduce the number of drowning and drain entrapment-related injuries and deaths of children associated with pools and spas by providing assistance for prevention education and safety standard enforcement.","http://www.cpsc.gov"
